genre	rating	review
Comedy	9	Imagine a movie where Joe Piscopo is actually funny!
Comedy	9	Maureen Stapleton is a scene stealer.
Comedy	9	The Moroni character is an absolute scream.
Comedy	9	Watch for Alan
Comedy	9	"The Skipper" Hale jr.
Comedy	9	as a police Sgt.
Crime	9	Imagine a movie where Joe Piscopo is actually funny!
Crime	9	Maureen Stapleton is a scene stealer.
Crime	9	The Moroni character is an absolute scream.
Crime	9	Watch for Alan
Crime	9	"The Skipper" Hale jr.
Crime	9	as a police Sgt.
Horror	8	*
Horror	8	**1/2 from
Horror	8	****
Comedy	7	A solid, if unremarkable film.
Comedy	7	Matthau, as Einstein, was wonderful.
Romance	7	A solid, if unremarkable film.
Romance	7	Matthau, as Einstein, was wonderful.
Adventure	8	I saw the movie with two grown children.
Adventure	8	so I know the children all liked it.
Adventure	8	There parents also seemed engaged.
Adventure	8	The death and apparent death of characters brought about the appropriate gasps and comments.
Adventure	8	Hopefully people realize this movie was made for kids.
Adventure	8	As such, it was successful although I liked it too.
Adventure	8	Personally I liked the Scrat!!
Animation	8	I saw the movie with two grown children.
Animation	8	so I know the children all liked it.
Animation	8	There parents also seemed engaged.
Animation	8	The death and apparent death of characters brought about the appropriate gasps and comments.
Animation	8	Hopefully people realize this movie was made for kids.
Animation	8	As such, it was successful although I liked it too.
Animation	8	Personally I liked the Scrat!!
Comedy	8	I saw the movie with two grown children.
Comedy	8	so I know the children all liked it.
Comedy	8	There parents also seemed engaged.
Comedy	8	The death and apparent death of characters brought about the appropriate gasps and comments.
Comedy	8	Hopefully people realize this movie was made for kids.
Comedy	8	As such, it was successful although I liked it too.
Comedy	8	Personally I liked the Scrat!!
Drama	10	This was a good film with a powerful message of love and redemption.
Drama	10	Well-acted and well-directed.
Drama	10	What about all people of all cultural backgrounds?
Drama	10	Loved the film and it brought tears to my eyes
Family	10	This was a good film with a powerful message of love and redemption.
Family	10	Well-acted and well-directed.
Family	10	What about all people of all cultural backgrounds?
Family	10	Loved the film and it brought tears to my eyes
Drama	10	She has a lovely scene with Roshan Seth in a restaurant.
Drama	10	There's more information on her website at >
Action	10	And you know what it worked.
Drama	10	And you know what it worked.
Sci-Fi	10	And you know what it worked.
Comedy	10	Yes, this gets the full ten stars.
Comedy	10	It's plain as day that this fill is genius.
Comedy	10	Recommended for anyone and everyone!
Documentary	10	Yes, this gets the full ten stars.
Documentary	10	It's plain as day that this fill is genius.
Documentary	10	Recommended for anyone and everyone!
Drama	10	Yes, this gets the full ten stars.
Drama	10	It's plain as day that this fill is genius.
Drama	10	Recommended for anyone and everyone!
Comedy	8	It is not as coherent or plausible as Up in Smoke
Comedy	8	but it still is incredibly funny, without becoming as strange as Nice Dreams.
Comedy	8	-Celluloid Rehab
Crime	8	It is not as coherent or plausible as Up in Smoke
Crime	8	but it still is incredibly funny, without becoming as strange as Nice Dreams.
Crime	8	-Celluloid Rehab
Sci-Fi	8	It is not as coherent or plausible as Up in Smoke
